Movie_Name,Movie_rating,User_Score,Genre,ww_gross,d_gross,critic_rating1,user_rating1,critic_rating2,user_rating2,twitter_handles,followers_count
Moonlight ,99,7.2,Drama,65339156,27854931,99,72,98,79,moonlightmov,36984
Manchester by the Sea ,96,8.2,Drama,77662988,47695371,96,82,95,77,MBTSMovie,7062
La La Land ,93,8.4,"Drama, Comedy, Romance, Musical ",431286372,151101803,93,84,92,81,LaLaLand,81934
Tower ,92,8.2,"History, Crime, Animation, Documentary ",101987,101987,92,82,100,90,keithmaitland,970
Arrival ,81,8.1,"Sci-Fi, Drama, Mystery, Thriller ",203178872,100546139,81,81,94,82,arrivalmovie,12452
The Jungle Book ,77,7.5,"Adventure, Drama, Fantasy, Family, Musical ",963901123,364001123,77,75,95,86,TheJungleBook,55202
The Edge of Seventeen ,77,7.8,"Drama, Comedy ",18802255,14431633,77,78,95,83,EdgeOf17,6868
Sully ,74,7.6,"Biography, Drama",238552082,125070033,74,76,86,84,SullyMovie,8821
From Afar ,73,8.7,"Drama, Romance",86392,30169,73,87,79,56,LorenzoVigas,4057
Eye in the Sky ,73,7.1,"Drama, Thriller, War ",34916128,18704596,73,71,95,83,The_Green_Gold,1869
The Beatles: Eight Days a Week - The Touring Years ,72,8.6,"Music, Documentary",10538795,2934445,72,86,96,89,thebeatles,3625268
Doctor Strange ,72,8.2,"Action, Adventure, Sci-Fi, Fantasy ",677541920,232641920,72,82,90,86,DrStrange,451619
In Order of Disappearance ,74,7.5,"Action, Thriller, Comedy, Crime ",50255,50255,74,75,85,73,,0
Tale of Tales ,72,6.5,"History, Fantasy, Horror, Romance ",1144001,102186,72,65,82,56,taleoftales,8060
Captain Fantastic ,72,7.8,"Drama, Comedy, Romance ",21343811,5879835,72,78,83,85,CaptainMovieUK,2129
King Jack ,72,6.5,"Adventure, Drama ",9241,9241,72,65,94,72,,0
"Hail, Caesar! ",72,5.9,"Drama, Mystery, Comedy, Musical ",64171419,30080225,72,59,85,44,HailCaesarMovie ‏,0
Hacksaw Ridge ,71,8.3,"Biography, Drama, History, Romance, War ",158701644,67209615,71,83,86,91,HacksawRidge‏,0
Don't Breathe ,71,7.4,"Thriller, Horror, Crime ",159047649,89217875,71,74,87,79,dontbreathe,7722
Raiders!: The Story of the Greatest Fan Film Ever Made ,70,5.6," Adventure, Biography, Drama, Comedy, Music, Documentary ",71916,71916,70,56,90,77,,0
Blue Jay ,69,7.8,Drama ,21626,21626,69,78,93,76,,0
Patriots Day ,69,7.1,"Drama, History, Thriller ",52461361,31886361,69,71,90,85,,0
The Birth of a Nation ,69,5.4,"Biography, Drama, History ",16847879,15861566,69,54,72,71,NateParker,47132
Star Trek Beyond ,68,6.7,"Action, Adventure, Sci-Fi, Thriller ",336398312,158848340,68,67,84,80,justinlin,79833
Equity ,68,6.2,Drama ,1672151,1605463,68,62,82,53,meeraonthewall,1720
The Meddler ,68,6.7," Drama, Comedy, Romance ",5429972,4267219,68,67,85,56,LoreneScafaria,11656
Popstar: Never Stop Never Stopping ,68,7.3,"Comedy, Music ",9537120,9496130,68,73,78,64,PopstarMovie,7449
Imperium ,68,6.9,"Drama, Thriller, Crime ",349876,349876,68,69,83,64,DanielRagussis,0
Last Days in the Desert ,67,5.6,"Adventure, Drama, History ",6948,6948,67,56,76,44,lastdesert,742
Shin Godzilla (Godzilla Resurgence) ,67,7.4,"Action, Adventure, Sci-Fi, Drama, Horror ",2199,2199,67,74,83,73,,0
Barbershop: The Next Cut ,67,5.8,Comedy,54404202,54030051,67,58,90,67,barbershopmovie ‏,0
Wedding Doll ,66,6,Drama,56196,56196,66,60,77,80,gilkenan,27258
Fantastic Beasts and Where to Find Them ,66,7.3,"Adventure, Fantasy, Family",803798342,234037575,66,73,74,79,FantasticBeasts,383642
The Infiltrator ,66,7.3,"Biography, Drama, Thriller, Crime ",18329653,15436808,66,73,70,71,InfiltratorMov,1739
Rogue One: A Star Wars Story ,65,7.6,"Action, Adventure, Sci-Fi, Fantasy, War ",1050988488,532177324,65,76,85,87,RogueOneMovie,5246
White Girl ,65,7.1,Drama ,200242,200242,65,71,71,44,whitegirl_movie,1099
The Conjuring 2 ,65,7.7,"Mystery, Thriller, Horror",311270008,102470008,65,77,79,81,TheConjuring,61522
Deadpool ,65,8.1,"Action, Adventure, Sci-Fi, Thriller, Fantasy, Comedy, Romance",801029249,363070709,65,81,83,90,deadpoolmovie,725488
Goat ,64,7.1,Drama ,2199,2199,64,71,77,44,GoatMovie,895
The Eyes of My Mother ,63,6.8,"Drama, Horror ",28180,27099,63,68,75,56,The Eyes of My Mother ,0
The Ones Below ,63,6.1,Thriller,42951,12488,63,61,73,47,DavidFarrUK,1021
"Hello, My Name Is Doris ",63,7.2,"Drama, Comedy, Romance ",14656195,14444999,63,72,83,76,mshowalter,393487
