Movie_Name,Genre,critic rating1,user rating1,critic rating2, user rating2,ww gross,d gross,twitter handles
Moonlight ,Drama,99,7.2,98,79,"6,53,39,156","2,78,54,931",moonlightmov
Manchester by the Sea ,Drama,96,8.2,95,77,"7,76,62,988","4,76,95,371",MBTSMovie
La La Land ,"Drama, Comedy, Romance, Musical ",93,8.4,92,81,"43,12,86,372","15,11,01,803",LaLaLand
Tower ,"History, Crime, Animation, Documentary ",92,8.2,100,90,"1,01,987","1,01,987",keithmaitland
Arrival ,"Sci-Fi, Drama, Mystery, Thriller ",81,8.1,94,82,"20,31,78,872","10,05,46,139",arrivalmovie
The Jungle Book ,"Adventure, Drama, Fantasy, Family, Musical ",77,7.5,95,86,"96,39,01,123","36,40,01,123",TheJungleBook
The Edge of Seventeen ,"Drama, Comedy ",77,7.8,95,83,"1,88,02,255","1,44,31,633",EdgeOf17
Sully ,"Biography, Drama",74,7.6,86,84,"23,85,52,082","12,50,70,033",SullyMovie
From Afar ,"Drama, Romance",73,8.7,79,56,86392,30169,LorenzoVigas
Eye in the Sky ,"Drama, Thriller, War ",73,7.1,95,83,"3,49,16,128","1,87,04,596",The_Green_Gold
The Beatles: Eight Days a Week - The Touring Years ,"Music, Documentary",72,8.6,96,89,"1,05,38,795","29,34,445",thebeatles
Doctor Strange ,"Action, Adventure, Sci-Fi, Fantasy ",72,8.2,90,86,"67,75,41,920","23,26,41,920",DrStrange
In Order of Disappearance ,"Action, Thriller, Comedy, Crime ",74,7.5,85,73,50255,50255,
Tale of Tales ,"History, Fantasy, Horror, Romance ",72,6.5,82,56,"11,44,001","1,02,186",taleoftales
Captain Fantastic ,"Drama, Comedy, Romance ",72,7.8,83,85,"2,13,43,811","58,79,835",CaptainMovieUK
King Jack ,"Adventure, Drama ",72,6.5,94,72,9241,0,
"Hail, Caesar! ","Drama, Mystery, Comedy, Musical ",72,5.9,85,44,"6,41,71,419","3,00,80,225",HailCaesarMovie ‏
Hacksaw Ridge ,"Biography, Drama, History, Romance, War ",71,8.3,86,91,"15,87,01,644","6,72,09,615",HacksawRidge‏
Don't Breathe ,"Thriller, Horror, Crime ",71,7.4,87,79,"15,90,47,649","8,92,17,875",dontbreathe
Raiders!: The Story of the Greatest Fan Film Ever Made ," Adventure, Biography, Drama, Comedy, Music, Documentary ",70,5.6,90,77,71916,71916,
Blue Jay ,Drama ,69,7.8,93,76,21626,21626,
Patriots Day ,"Drama, History, Thriller ",69,7.1,90,85,"5,24,61,361","3,18,86,361",
The Birth of a Nation ,"Biography, Drama, History ",69,5.4,72,71,"1,68,47,879","1,58,61,566",NateParker
Star Trek Beyond ,"Action, Adventure, Sci-Fi, Thriller ",68,6.7,84,80,"33,63,98,312","15,88,48,340",justinlin
Equity ,Drama ,68,6.2,82,53,"16,72,151","16,05,463",meeraonthewall
The Meddler ," Drama, Comedy, Romance ",68,6.7,85,56,"54,29,972","42,67,219",LoreneScafaria
Popstar: Never Stop Never Stopping ,"Comedy, Music ",68,7.3,78,64,"95,37,120","94,96,130",PopstarMovie
Imperium ,"Drama, Thriller, Crime ",68,6.9,83,64,"3,49,876",0,DanielRagussis
Last Days in the Desert ,"Adventure, Drama, History ",67,5.6,76,44,6948,0,lastdesert
Shin Godzilla (Godzilla Resurgence) ,"Action, Adventure, Sci-Fi, Drama, Horror ",67,7.4,83,73,0,0,
Barbershop: The Next Cut ,Comedy,67,5.8,90,67,"5,44,04,202","5,40,30,051",barbershopmovie ‏
Wedding Doll ,Drama,66,6,77,80,56196,56196,gilkenan
Fantastic Beasts and Where to Find Them ,"Adventure, Fantasy, Family",66,7.3,74,79,"80,37,98,342","23,40,37,575",FantasticBeasts
The Infiltrator ,"Biography, Drama, Thriller, Crime ",66,7.3,70,71,"1,83,29,653","1,54,36,808",InfiltratorMov
Rogue One: A Star Wars Story ,"Action, Adventure, Sci-Fi, Fantasy, War ",65,7.6,85,87,"1,05,09,88,488","53,21,77,324",RogueOneMovie
White Girl ,Drama ,65,7.1,71,44,"2,00,242","2,00,242",whitegirl_movie
The Conjuring 2 ,"Mystery, Thriller, Horror",65,7.7,79,81,"31,12,70,008","10,24,70,008",TheConjuring
Deadpool ,"Action, Adventure, Sci-Fi, Thriller, Fantasy, Comedy, Romance",65,8.1,83,90,"80,10,29,249","36,30,70,709",deadpoolmovie
Goat ,Drama ,64,7.1,77,44,0,0,GoatMovie
The Eyes of My Mother ,"Drama, Horror ",63,6.8,75,56,28180,27099,The Eyes of My Mother 
The Ones Below ,Thriller,63,6.1,73,47,42951,12488,DavidFarrUK
"Hello, My Name Is Doris ","Drama, Comedy, Romance ",63,7.2,83,76,"1,46,56,195","1,44,44,999",mshowalter
Bleed for This ,"Biography, Drama, Sport ",62,6.7,70,69,"62,48,077","50,83,906",BleedForThis
Touched With Fire ,"Drama, Romance ",62,4.8,68,90,"1,54,869","1,46,487",
Ghostbusters ,"Action, Sci-Fi, Fantasy, Comedy ",60,2.9,74,52,"22,90,34,050","12,83,50,574",Ghostbusters
Allied ,"Action, Drama, History, Thriller, Romance, War ",60,6.7,59,64,"11,95,20,023","4,00,98,064",AlliedMovie
Tumbledown ,"Comedy, Romance, Music",60,6.6,69,61,"2,34,697","1,35,026",TumbledownMovie
Bad Moms ,Comedy,60,5.3,58,63,"18,14,57,297","11,32,57,297",BadMoms
Yosemite ,Drama,59,7,77,62,13931,13931,
Into the Forest ,"Sci-Fi, Drama, Thriller",59,5.9,78,43,11303,9995,IntoTheForest
Elvis & Nixon ,"History, Comedy ",59,6.4,77,57,"14,43,285","10,55,284",ElvisNixonMovie
Absolutely Fabulous: The Movie ,"Comedy, Crime",59,4.4,59,41,"3,56,72,155","47,72,155",AbFabMovie ‏
Jason Bourne ,"Action, Thriller",58,6.4,55,56,"41,61,97,059","16,21,92,920",jasonbourne
Nerve ,"Adventure, Sci-Fi, Mystery, Thriller, Crime ",58,6.6,67,67,"6,16,80,792","3,85,83,626",PlayNerve
Creative Control ,"Sci-Fi, Drama ",58,7.3,61,40,63014,63014,
Lights Out ,"Thriller, Fantasy, Horror ",58,6.8,76,62,"14,88,68,835","6,72,68,835",LightsOutMovie
Snowden ,"Action, Biography, Drama, Thriller ",58,7,61,71,"3,43,01,950","2,15,87,519",SnowdenTheMovie
A Hologram for the King ,"Drama, Comedy",58,5.7,73,55,"1,18,48,058","42,12,494",hologramforking
The Finest Hours ,"Action, Adventure, Biography, Drama, History, Thriller",58,6.6,64,66,"4,92,52,761","2,75,69,558",MichaelTougias ‏
The Greasy Strangler ,"Thriller, Horror, Comedy",58,4.8,63,51,67473,45878,
Whiskey Tango Foxtrot ,"Comedy, War",57,6.5,67,55,"2,49,15,969","2,30,83,334",WTFTheMovie
Miss Peregrine's Home for Peculiar Children ,"Adventure, Drama, Fantasy, Family",57,6.7,63,60,"29,66,42,834","8,72,42,834",MissPeregrinesHomeForPeculiarChildren
Band of Robbers ,"Adventure, Thriller, Comedy, Crime ",57,6.7,77,61,20555,20555,Band_of_Robbers
War Dogs ,"Drama, Thriller, Comedy, Crime, War",57,7.1,59,69,"8,30,34,523","4,30,34,523",wardogsmovie
Genius ,"Biography, Drama",56,6.6,51,45,"56,53,176","13,61,045",
Race ,"Biography, Drama, Sport",56,6.5,61,77,"2,21,78,125","1,91,15,191",RaceMovie
A Tale of Love and Darkness ,"Biography, Drama, History",55,5.5,67,50,"6,58,848","5,72,212",
Almost Christmas ,"Drama, Comedy ",55,5.1,51,65,"4,24,93,506","4,20,65,185",AlmostChristmas
The Fundamentals of Caring ,"Drama, Comedy ",55,8.2,77,83,0,0,
Anesthesia ,"Drama, Thriller",55,5.8,26,50,26799,26799,Robburnett1
A Street Cat Named Bob ,"Biography, Drama, Comedy, Family",54,8.1,76,77,"83,70,555",82703,
Hands of Stone ,"Action, Biography, Drama, Sport ",54,5.9,45,52,"50,32,013","47,12,792",HandsofStoneMov
Eddie the Eagle ,"Biography, Drama, History, Sport, Comedy",54,7.2,80,82,"4,51,21,177","1,57,89,389",EddieEagleMovie
The Magnificent Seven ,"Action, Adventure, Western",54,6.4,63,72,"15,97,67,790","9,34,32,655",AdamBaldwin
The Program ,"Biography, Drama, Sport ",53,6.2,61,42,"15,79,261",0,ProgramTheMovie
Knight of Cups ,"Drama, Romance ",53,6.4,45,37,"10,75,486","5,66,006",knightofcupsmov
Monster Hunt ,"Action, Fantasy, Comedy",53,3.6,63,47,"38,61,52,042",32766,
Free State of Jones ,"Action, Biography, Drama, History, War",53,7,46,63,"2,31,52,062","2,08,10,036",FreeStateMovie
The Hollars ,"Drama, Comedy, Romance, Family ",53,7,44,58,"11,39,502","10,16,985",
Mr. Right ,"Action, Comedy, Romance ",52,6.5,43,53,"8,31,881",34694,MrRightMovie
Central Intelligence ,"Action, Comedy, Crime ",52,6.5,70,61,"21,71,96,811","12,74,40,871",CentralIntel
X-Men: Apocalypse ,"Action, Adventure, Sci-Fi, Fantasy ",52,6.6,48,66,"54,27,42,489","15,54,42,489",XMenMovies
Triple 9 ,"Action, Drama, Thriller, Crime",52,6.2,53,42,"2,59,43,792","1,26,39,297",Triple9Movie
The Neon Demon ,"Drama, Thriller, Horror ",51,6.9,58,51,"35,59,803","13,33,124",tnd_film
How to Be Single ,"Comedy, Romance ",51,6,47,47,"9,95,95,932","4,68,43,513",
Desierto ,"Action, Drama, Thriller, Horror",51,4.8,61,47,"49,40,419","20,02,036",desierto
Risen ,"Action, Adventure, Drama, Mystery",51,6.9,52,69,"4,61,64,361","3,68,80,033",RisenMovie
The Accountant ,"Action, Drama, Thriller, Crime ",51,7.4,52,77,"15,30,60,045","8,62,60,045",accountantmovie
Mike and Dave Need Wedding Dates ,"Adventure, Comedy, Romance",51,6,35,51,"7,59,09,673","4,60,09,673",
A Kind of Murder ,"Drama, Thriller ",50,5.7,36,13,83401,2915,
Demolition ,"Drama, Comedy",49,7.2,52,53,"41,24,315","19,78,592",
Jane Got a Gun ,"Action, Drama, Western ",49,5.4,41,37,"29,76,636","15,13,793",janegotagunfilm ‏
Live by Night ,"Drama, Crime",49,7.1,35,42,"2,17,78,555","1,03,78,555",livebynight
13 Hours: The Secret Soldiers of Benghazi ,"Action, Drama, Thriller, War",48,6.8,50,82,"6,94,11,370","5,28,53,219",13hours
The Girl on the Train ,"Drama, Mystery, Thriller",48,6,45,49,"17,03,27,930","7,53,95,035",girlontrainfilm
Morgan ,"Sci-Fi, Drama, Mystery, Thriller, Horror",48,5.6,38,30,"73,15,248","39,15,251",Morgan
Jack Reacher: Never Go Back ,"Action, Adventure, Drama, Mystery, Thriller, Crime ",47,5.6,38,42,"16,00,38,407","5,86,97,076",JackReacher
The Dressmaker ,Drama,47,6.7,54,66,"2,40,41,617","20,22,115",DressmakerMovie
I Saw the Light ,"Biography, Drama, Romance, Music, Musical",47,5,18,35,"17,67,963","16,46,788",
Now You See Me 2 ,"Action, Adventure, Mystery, Thriller, Comedy, Crime",46,6.4,34,53,"32,86,75,540","6,50,75,540",NYSMmovie
Kill Your Friends ,"Thriller, Comedy, Crime ",45,5.8,25,31,"4,20,091",0,KillFriendsFilm
Pride and Prejudice and Zombies ,"Action, Thriller, Horror, Comedy, Romance ",45,5.6,43,44,"1,63,11,335","1,09,07,291",PPZmovie
Miracles from Heaven ,Drama,44,5.8,43,81,"7,37,98,720","6,17,05,123",MiraclesHeaven
Batman v Superman: Dawn of Justice ,"Action, Adventure, Sci-Fi, Fantasy ",44,7,27,63,"86,81,60,194","33,03,60,194",BatmanvSuperman
American Pastoral ,"Drama, Crime",43,5.8,22,29,"17,15,728","5,44,098",AmPastoralMovie
Equals ,"Sci-Fi, Drama, Romance ",43,6.4,35,41,"21,34,557",33258,EqualsTheMovie
Office Christmas Party ,Comedy ,42,4.9,41,41,"9,13,42,494","5,47,67,494",officexmasparty
Inferno ,"Action, Adventure, Sci-Fi, Drama, Mystery, Thriller, Crime ",42,5.5,22,36,"21,95,72,877","3,43,55,263",infernothemovie
The Boy ,"Mystery, Thriller, Horror ",42,6.6,28,38,"6,82,20,952","3,58,19,556",TheBoyMovie
The Other Side of the Door ,Horror ,41,4.7,37,29,"97,87,624","30,00,342",
The Perfect Match ,"Comedy, Romance",41,5.1,27,44,"96,69,521","96,69,521",
Passengers ,"Adventure, Sci-Fi, Drama, Romance",41,6.7,30,63,"30,22,12,434","10,00,14,699",PassengersMovie
Suicide Squad ,"Action, Adventure, Sci-Fi, Thriller, Fantasy, Comedy, Crime",40,6.2,26,60,"74,61,00,054","32,51,00,054",SuicideSquadWB
Teenage Mutant Ninja Turtles: Out of the Shadows ,"Action, Adventure, Sci-Fi, Fantasy, Comedy",40,5.7,36,47,"24,56,23,848","8,20,51,601",TMNTMovie ‏
