Movie_Name,Genre,critic_rating1,user_rating1,critic_rating2, user_rating2,world_wide_gross,Domestic_gross,twitter_handles,views_count,likes_count,dislikes_count,comments_count,Action,Adventure,Animation,Biography,Comedy,Crime,Documentory,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Moonlight ,Drama,99,7.2,98,79,65339156,27854931,moonlightmov,14127539,42088,5070,7122,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Manchester by the Sea ,Drama,96,8.2,95,77,77662988,47695371,MBTSMovie,7968045,21165,1168,2311,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
La La Land ,"Drama, Comedy, Romance, Musical ",93,8.4,92,81,431286372,151101803,LaLaLand,32881714,118370,5903,8479,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
Tower ,"History, Crime, Animation, Documentary ",92,8.2,100,90,101987,101987,keithmaitland,25059880,122354,16014,19998,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Arrival ,"Sci-Fi, Drama, Mystery, Thriller ",81,8.1,94,82,203178872,100546139,arrivalmovie,18768099,81007,4539,15067,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
The Jungle Book ,"Adventure, Drama, Fantasy, Family, Musical ",77,7.5,95,86,963901123,364001123,TheJungleBook,7544981,36492,1350,3852,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
The Edge of Seventeen ,"Drama, Comedy ",77,7.8,95,83,18802255,14431633,EdgeOf17,11950324,92813,1558,4732,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sully ,"Biography, Drama",74,7.6,86,84,238552082,125070033,SullyMovie,14662620,54431,2044,8716,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
From Afar ,"Drama, Romance",73,8.7,79,56,86392,30169,LorenzoVigas,137380,286,19,46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Eye in the Sky ,"Drama, Thriller, War ",73,7.1,95,83,34916128,18704596,The_Green_Gold,3544849,6628,1149,1682,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
The Beatles: Eight Days a Week - The Touring Years ,"Music, Documentary",72,8.6,96,89,10538795,2934445,thebeatles,825356,3300,37,263,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Doctor Strange ,"Action, Adventure, Sci-Fi, Fantasy ",72,8.2,90,86,677541920,232641920,DrStrange,35258999,218372,6589,30600,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
In Order of Disappearance ,"Action, Thriller, Comedy, Crime ",74,7.5,85,73,50255,50255,,86865,276,11,41,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tale of Tales ,"History, Fantasy, Horror, Romance ",72,6.5,82,56,1144001,102186,taleoftales,8610945,20410,2066,570,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Captain Fantastic ,"Drama, Comedy, Romance ",72,7.8,83,85,21343811,5879835,CaptainMovieUK,7060177,16761,836,1877,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
King Jack ,"Adventure, Drama ",72,6.5,94,72,9241,9241,,135007,696,15,116,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hail, Caesar! ","Drama, Mystery, Comedy, Musical ",72,5.9,85,44,64171419,30080225,HailCaesarMovie ‏,10534588,21646,1919,2507,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Hacksaw Ridge ,"Biography, Drama, History, Romance, War ",71,8.3,86,91,158701644,67209615,HacksawRidge‏,18522709,88398,3026,13417,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
Don't Breathe ,"Thriller, Horror, Crime ",71,7.4,87,79,159047649,89217875,dontbreathe,22911326,62558,2518,10136,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Raiders!: The Story of the Greatest Fan Film Ever Made ," Adventure, Biography, Drama, Comedy, Music, Documentary ",70,5.6,90,77,71916,71916,,79694,306,13,45,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Blue Jay ,Drama ,69,7.8,93,76,21626,21626,,169321,1001,27,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Patriots Day ,"Drama, History, Thriller ",69,7.1,90,85,52461361,31886361,,5166080,11056,3748,4050,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
